Student_ID,Name,Class,Attendance
101,Raviraj Choudhari,TY BTech Data Science,58
102,Saanvi Choudhary,TY BTech Data Science,82
103,Krishna Singh,TY BTech Data Science,42
104,Aditi Choudhary,SY BTech Data Science,47
105,Ananya Mehta,SY BTech Data Science,51
106,Aditya Reddy,TY BTech Data Science,68
107,Naina Gupta,SY BTech Data Science,83
108,Saanvi Patel,SY BTech Data Science,53
109,Ananya Sharma,TY BTech Data Science,41
110,Vivaan Mehta,SY BTech Data Science,75
111,Diya Khan,TY BTech Data Science,80
112,Saanvi Reddy,SY BTech Data Science,58
113,Naina Gupta,TY BTech Data Science,99
114,Ananya Khan,TY BTech Data Science,87
115,Tanvi Khan,SY BTech Data Science,75
116,Shreya Sharma,SY BTech Data Science,79
117,Naina Reddy,TY BTech Data Science,58
118,Ananya Patel,SY BTech Data Science,98
119,Naina Gupta,TY BTech Data Science,87
120,Kavya Choudhary,TY BTech Data Science,53
