Student_ID,Student_Email,Guardian_Email
101,ravirajchoudhari07@gmail.com,ravirajchoudhari07@gmail.com
102,saanvichoudhary@example.com,guardian_1@example.com
103,krishnasingh@example.com,guardian_2@example.com
104,aditichoudhary@example.com,guardian_3@example.com
105,ananyamehta@example.com,guardian_4@example.com
106,adityareddy@example.com,guardian_5@example.com
107,nainagupta@example.com,guardian_6@example.com
108,saanvipatel@example.com,guardian_7@example.com
109,ananyasharma@example.com,guardian_8@example.com
110,vivaanmehta@example.com,guardian_9@example.com
111,diyakhan@example.com,guardian_10@example.com
112,saanvireddy@example.com,guardian_11@example.com
113,nainagupta@example.com,guardian_12@example.com
114,ananyakhan@example.com,guardian_13@example.com
115,tanvikhan@example.com,guardian_14@example.com
116,shreyasharma@example.com,guardian_15@example.com
117,nainareddy@example.com,guardian_16@example.com
118,ananyapatel@example.com,guardian_17@example.com
119,nainagupta@example.com,guardian_18@example.com
120,kavyachoudhary@example.com,guardian_19@example.com
